Priority,Skill,Difficulty,Est. Time,Prerequisites,Related Skills,Top Course Platforms,Practice Platforms,Documentation,Certifications
🟡 HIGH,tableau,Intermediate,4 weeks (1 month),None,,Coursera: https://www.coursera.org/search?query=tableau | Udemy: https://www.udemy.com/courses/search/?q=tableau | edX: https://www.edx.org/search?q=tableau,N/A,Tableau on DevDocs: https://devdocs.io/tableau,N/A
🟡 HIGH,data visualization,Intermediate,4 weeks (1 month),None,,Coursera: https://www.coursera.org/search?query=data+visualization | Udemy: https://www.udemy.com/courses/search/?q=data+visualization | edX: https://www.edx.org/search?q=data+visualization,N/A,Data Visualization on DevDocs: https://devdocs.io/data visualization,N/A
🟡 HIGH,aws,Intermediate,8 weeks (2 months),"linux, networking basics","ec2, s3, lambda",Coursera: https://www.coursera.org/search?query=aws | Udemy: https://www.udemy.com/courses/search/?q=aws | edX: https://www.edx.org/search?q=aws,AWS Free Tier: https://aws.amazon.com/free/,Aws on DevDocs: https://devdocs.io/aws,"AWS Solutions Architect, AWS Developer"
